Date	Price	Open	High	Low	Change %
12-Jul-16	7.337	7.321	7.337	7.321	-0.64
11-Jul-16	7.384	7.385	7.385	7.384	-0.01
8-Jul-16	7.385	7.382	7.385	7.382	0.04
7-Jul-16	7.382	7.373	7.382	7.373	-0.16
5-Jul-16	7.394	7.415	7.415	7.394	-0.43
4-Jul-16	7.426	7.425	7.426	7.425	0.09
1-Jul-16	7.419	7.419	7.419	7.419	-0.42
30-Jun-16	7.45	7.438	7.45	7.438	0.08
29-Jun-16	7.444	7.448	7.448	7.444	-0.12
28-Jun-16	7.453	7.445	7.453	7.445	-0.08
27-Jun-16	7.459	7.46	7.46	7.459	-0.23
24-Jun-16	7.476	7.475	7.476	7.475	-0.07
23-Jun-16	7.481	7.478	7.481	7.478	0.07
22-Jun-16	7.476	7.491	7.491	7.476	-0.29
21-Jun-16	7.498	7.487	7.498	7.487	0.03
20-Jun-16	7.496	7.525	7.525	7.496	-0.09
17-Jun-16	7.503	7.5	7.503	7.5	-0.04
16-Jun-16	7.506	7.506	7.506	7.506	-0.15
15-Jun-16	7.517	7.516	7.517	7.516	-0.03
14-Jun-16	7.519	7.538	7.538	7.519	-0.08
13-Jun-16	7.525	7.498	7.525	7.498	0.44
10-Jun-16	7.492	7.494	7.494	7.492	0.05
9-Jun-16	7.488	7.491	7.491	7.488	-0.01
8-Jun-16	7.489	7.485	7.489	7.485	0.08
7-Jun-16	7.483	7.48	7.483	7.48	0.13
6-Jun-16	7.473	7.473	7.473	7.473	-0.21
3-Jun-16	7.489	7.489	7.489	7.489	0.05
2-Jun-16	7.485	7.482	7.485	7.482	-0.04
1-Jun-16	7.488	7.489	7.489	7.488	0.23
31-May-16	7.471	7.469	7.471	7.469	0.13
30-May-16	7.461	7.46	7.461	7.46	-0.13
28-May-16	7.471	7.471	7.471	7.471	0
27-May-16	7.471	7.469	7.471	7.469	0
26-May-16	7.471	7.467	7.471	7.467	0.09
25-May-16	7.464	7.464	7.464	7.464	-0.03
24-May-16	7.466	7.463	7.466	7.463	0
23-May-16	7.466	7.47	7.47	7.466	-0.17
20-May-16	7.479	7.471	7.479	7.471	0.12
19-May-16	7.47	7.483	7.483	7.47	-0.08
18-May-16	7.476	7.467	7.476	7.467	0.3
17-May-16	7.454	7.458	7.458	7.454	0
16-May-16	7.454	7.457	7.457	7.454	0.05
13-May-16	7.45	7.45	7.45	7.45	0.36
12-May-16	7.423	7.425	7.425	7.423	-0.07
11-May-16	7.428	7.428	7.428	7.428	0
10-May-16	7.428	7.429	7.429	7.428	0.04
9-May-16	7.425	7.423	7.425	7.423	-0.13
6-May-16	7.435	7.431	7.435	7.431	0
5-May-16	7.435	7.429	7.435	7.429	0.04
4-May-16	7.432	7.435	7.435	7.432	-0.13
3-May-16	7.442	7.444	7.444	7.442	0.01
2-May-16	7.441	7.432	7.441	7.432	0.05
29-Apr-16	7.437	7.456	7.456	7.437	-0.08
28-Apr-16	7.443	7.444	7.444	7.443	-0.27
27-Apr-16	7.463	7.46	7.463	7.46	-0.12
26-Apr-16	7.472	7.491	7.491	7.472	0.03
25-Apr-16	7.47	7.445	7.47	7.445	0.19
22-Apr-16	7.456	7.463	7.463	7.456	-0.27
21-Apr-16	7.476	7.463	7.476	7.463	0.51
20-Apr-16	7.438	7.435	7.438	7.435	0.28
18-Apr-16	7.417	7.431	7.431	7.417	-0.27
13-Apr-16	7.437	7.419	7.437	7.419	0.27
12-Apr-16	7.417	7.404	7.417	7.404	-0.01
11-Apr-16	7.418	7.447	7.447	7.418	-0.42
7-Apr-16	7.449	7.456	7.456	7.449	-0.17
6-Apr-16	7.462	7.468	7.468	7.462	0
5-Apr-16	7.462	7.431	7.462	7.431	0.65
4-Apr-16	7.414	7.44	7.44	7.414	-0.66
31-Mar-16	7.463	7.46	7.463	7.46	-0.4
30-Mar-16	7.493	7.493	7.493	7.493	-0.28
29-Mar-16	7.514	7.5	7.514	7.5	0.19
28-Mar-16	7.5	7.507	7.507	7.5	-0.15
23-Mar-16	7.511	7.514	7.514	7.511	0.07
22-Mar-16	7.506	7.516	7.516	7.506	0
21-Mar-16	7.506	7.491	7.506	7.491	-0.19
18-Mar-16	7.52	7.526	7.526	7.52	0.01
17-Mar-16	7.519	7.55	7.55	7.519	-0.69
16-Mar-16	7.571	7.588	7.588	7.571	-0.12
15-Mar-16	7.58	7.579	7.58	7.579	-0.28
14-Mar-16	7.601	7.615	7.615	7.601	-0.37
11-Mar-16	7.629	7.635	7.635	7.629	-0.09
10-Mar-16	7.636	7.646	7.646	7.636	-0.21
9-Mar-16	7.652	7.658	7.658	7.652	0.16
8-Mar-16	7.64	7.626	7.64	7.626	0.04
4-Mar-16	7.637	7.66	7.66	7.637	-0.3
